"filename", "language", "Shell Script", "Markdown", "C", "CMake", "C++", "Properties", "Diff", "ARM", "comment", "blank", "total"
"/home/nexos/sources/nexnix/source/nexke/core/main.c", "C", 0, 0, 107, 0, 0, 0, 0, 0, 46, 11, 164
"/home/nexos/sources/nexnix/source/nexke/core/resource.c", "C", 0, 0, 254, 0, 0, 0, 0, 0, 85, 23, 362
"/home/nexos/sources/nexnix/source/nexke/core/time.c", "C", 0, 0, 234, 0, 0, 0, 0, 0, 77, 17, 328
"/home/nexos/sources/nexnix/source/nexke/core/work.c", "C", 0, 0, 116, 0, 0, 0, 0, 0, 41, 12, 169
"/home/nexos/sources/nexnix/source/nexke/cpu/armv8/arch.cmake", "CMake", 0, 0, 0, 22, 0, 0, 0, 0, 0, 7, 29
"/home/nexos/sources/nexnix/source/nexke/cpu/armv8/cpu.S", "ARM", 0, 0, 0, 0, 0, 0, 0, 20, 0, 3, 23
"/home/nexos/sources/nexnix/source/nexke/cpu/armv8/cpudep.c", "C", 0, 0, 12, 0, 0, 0, 0, 0, 22, 6, 40
"/home/nexos/sources/nexnix/source/nexke/cpu/armv8/cpuhelp.c", "C", 0, 0, 33, 0, 0, 0, 0, 0, 19, 8, 60
"/home/nexos/sources/nexnix/source/nexke/cpu/armv8/mul.c", "C", 0, 0, 61, 0, 0, 0, 0, 0, 35, 5, 101
"/home/nexos/sources/nexnix/source/nexke/cpu/armv8/mul.h", "C++", 0, 0, 0, 0, 20, 0, 0, 0, 25, 11, 56
"/home/nexos/sources/nexnix/source/nexke/cpu/i386/arch.cmake", "CMake", 0, 0, 0, 35, 0, 0, 0, 0, 0, 9, 44
"/home/nexos/sources/nexnix/source/nexke/cpu/i386/cpu.asm", "ARM", 0, 0, 0, 0, 0, 0, 0, 141, 0, 9, 150
"/home/nexos/sources/nexnix/source/nexke/cpu/i386/cpudep.c", "C", 0, 0, 234, 0, 0, 0, 0, 0, 78, 20, 332
"/home/nexos/sources/nexnix/source/nexke/cpu/i386/cpuhelp.c", "C", 0, 0, 177, 0, 0, 0, 0, 0, 17, 26, 220
"/home/nexos/sources/nexnix/source/nexke/cpu/i386/mul.c", "C", 0, 0, 452, 0, 0, 0, 0, 0, 151, 27, 630
"/home/nexos/sources/nexnix/source/nexke/cpu/i386/mulpae.c", "C", 0, 0, 545, 0, 0, 0, 0, 0, 176, 29, 750
